sl_no,hsc_p,hsc_s,degree_p,degree_t,etest_p,specialisation,mba_p,salary,hsc_p ,gender_0,gender_1
48,0.19564753573714522,1,0.02857142857142858,0,0.5833333333333333,0,54.55,0.00540540540540542,60.0,False,True
49,0.23831875400042665,1,0.3428571428571429,0,0.29166666666666663,0,62.46,0.06756756756756757,62.0,False,True
51,0.4772775762748026,2,0.3542857142857145,0,0.3125,1,62.98,0.0,73.2,True,False
54,0.40900362705355225,2,0.4571428571428572,2,0.7708333333333333,1,71.04,0.33783783783783783,70.0,False,True
55,0.19564753573714522,2,0.3714285714285715,0,0.48210188356164374,1,65.56,0.021621621621621637,60.0,True,False
56,0.33646255600597375,2,0.2571428571428572,0,0.43749999999999994,1,52.71,0.02702702702702703,66.6,False,True
57,0.4388734798378494,1,0.1542857142857143,0,0.37499999999999994,0,66.88,0.05405405405405406,71.4,False,True
58,0.5370172818433965,1,0.5142857142857143,0,0.625,0,63.59,0.21621621621621623,76.0,False,True
59,0.23831875400042665,2,0.3428571428571429,0,0.49999999999999994,0,57.99,0.0918918918918919,62.0,False,True
60,0.31470023469170033,2,0.46028571428571435,2,0.15833333333333338,0,56.66,0.08783783783783786,65.58,False,True
61,0.40900362705355225,2,0.4571428571428572,0,0.20833333333333331,0,57.24,0.08108108108108109,70.0,False,True
62,0.4815446981011308,1,0.3111428571428572,0,0.24166666666666667,0,62.48,0.13513513513513514,73.4,False,True
63,0.28525709409003625,2,0.3257142857142859,2,0.1875,0,59.69,0.05405405405405406,64.2,True,False
65,0.4730104544484744,1,0.5428571428571429,0,0.22916666666666663,0,58.78,0.05405405405405406,73.0,False,True
67,0.4943460635801151,2,0.28571428571428575,0,0.39416666666666667,1,58.46,0.10135135135135137,74.0,False,True
68,0.5903563046724982,1,0.31428571428571433,0,0.3897916666666665,0,60.99,0.10135135135135137,78.5,False,True
70,0.4730104544484744,2,0.28571428571428575,2,0.41666666666666663,0,68.07,0.10135135135135137,73.0,False,True
71,0.21698314486878595,2,0.17142857142857146,2,0.8125,0,65.45,0.21621621621621623,61.0,False,True
72,0.4151909537017282,1,0.4285714285714286,0,0.9375,0,66.94,0.05405405405405406,70.29,False,True
73,0.34499679965863017,2,0.6285714285714287,0,0.9479166666666666,0,68.53,0.05405405405405406,67.0,False,True
74,0.7040751013441432,1,0.4491428571428572,0,0.75,0,59.75,0.02432432432432434,83.83,False,True
75,0.29805845956902055,1,0.40571428571428586,0,0.7139583333333333,0,67.2,0.1837837837837838,64.8,False,True
77,0.4175378707062087,0,0.4551428571428574,0,0.22916666666666663,0,64.27,0.04054054054054054,70.4,True,False
78,0.6223597183699593,2,0.2571428571428572,2,0.39583333333333326,0,57.65,0.4054054054054055,80.0,False,True
79,0.8549178579048432,2,0.24285714285714288,2,0.7508333333333335,0,59.42,0.09459459459459461,90.9,False,True
81,0.23831875400042665,1,0.3714285714285715,0,0.35416666666666663,1,62.35,0.05405405405405406,62.0,True,False
82,0.25965436313206736,2,0.31428571428571433,0,0.75,0,70.2,0.13513513513513514,63.0,False,True
84,0.6010241092383186,2,0.3428571428571429,2,0.7083333333333333,0,66.69,0.13513513513513514,79.0,False,True
85,0.25965436313206736,2,0.4000000000000001,2,0.10416666666666669,0,62.0,0.13513513513513514,63.0,False,True
86,0.8320887561339875,1,0.6057142857142859,0,0.5987499999999998,0,76.18,0.2702702702702703,89.83,True,False
87,0.25965436313206736,1,0.22857142857142862,0,0.35416666666666663,0,57.03,0.02702702702702703,63.0,False,True
89,0.23831875400042665,1,0.48571428571428577,0,0.16666666666666669,1,64.36,0.013513513513513514,62.0,True,False
90,0.5156816727117558,2,0.3714285714285715,2,0.24999999999999997,1,62.36,0.013513513513513514,75.0,True,False
91,0.8357158096863664,1,0.7428571428571429,0,0.875,0,68.03,0.13513513513513514,90.0,True,False
93,0.3876680179219116,2,0.28571428571428575,0,0.45833333333333326,0,59.47,0.04054054054054054,69.0,True,False
95,0.23831875400042665,1,0.22857142857142862,0,0.08083333333333342,0,54.97,0.08108108108108109,62.0,False,True
96,0.5796885001066778,1,0.2571428571428572,0,0.947083333333333,0,62.16,0.29729729729729737,78.0,False,True
97,0.40900362705355225,2,0.5714285714285715,0,0.33333333333333326,0,64.44,0.13513513513513514,70.0,True,False
99,0.4730104544484744,1,0.2571428571428572,0,0.41666666666666663,0,57.31,0.02702702702702703,73.0,True,False
102,0.4516748453168337,1,0.3428571428571429,0,0.5833333333333333,1,60.44,0.24324324324324326,72.0,False,True
103,0.21698314486878595,1,0.3428571428571429,0,0.15625000000000006,0,61.31,0.13513513513513514,61.0,True,False
104,0.5796885001066778,2,0.48571428571428577,2,0.7291666666666666,1,65.83,0.05405405405405406,78.0,False,True
105,0.25965436313206736,2,0.2571428571428572,0,0.10416666666666669,1,58.23,0.21621621621621623,63.0,False,True
108,0.8357158096863664,1,0.7714285714285715,0,0.625,1,73.52,0.0,90.0,False,True
109,0.6650309366332408,1,0.3714285714285715,0,0.7083333333333333,0,58.31,0.13513513513513514,82.0,False,True
111,0.40900362705355225,2,0.4571428571428572,2,0.15000000000000008,1,54.8,0.06756756756756757,70.0,True,False
113,0.21698314486878595,1,0.14285714285714288,0,0.16666666666666669,1,53.94,0.06756756756756757,61.0,False,True
114,0.6010241092383186,1,0.31428571428571433,0,0.4614583333333334,0,63.08,0.10810810810810811,79.0,True,False
115,0.3663324087902709,2,0.3714285714285715,0,0.07708333333333345,1,55.01,0.06756756756756757,68.0,False,True
116,0.25965436313206736,2,0.28571428571428575,0,0.8125,0,60.5,0.021621621621621637,63.0,True,False
117,0.4687433326221462,1,0.3028571428571427,0,0.9583333333333333,0,70.85,0.13513513513513514,72.8,False,True
118,0.5156816727117558,2,0.48571428571428577,2,0.625,0,67.05,0.05405405405405406,75.0,False,True
119,0.6223597183699593,2,0.6285714285714287,2,0.9791666666666666,1,70.48,0.10270270270270272,80.0,False,True
120,0.3748666524429273,1,0.2457142857142856,0,0.48210188356164374,0,64.34,1.0,68.4,False,True
122,0.34499679965863017,2,0.38857142857142846,2,0.11812500000000009,1,71.49,0.06756756756756757,67.0,True,False
123,0.34072967783230196,0,0.37999999999999995,0,0.6333333333333334,0,71.0,0.04864864864864865,66.8,True,False
124,0.17431192660550454,1,0.48571428571428577,0,0.20833333333333331,1,56.7,0.05405405405405406,59.0,False,True
125,0.430339236185193,2,0.238,1,0.29166666666666663,1,61.26,0.06756756756756757,71.0,False,True
126,0.4730104544484744,1,0.48571428571428577,0,0.5208333333333333,0,73.33,0.20270270270270274,73.0,True,False
127,0.21698314486878595,2,0.5571428571428572,2,0.41666666666666663,0,68.2,0.013513513513513514,61.0,True,False
128,0.19564753573714522,2,0.3714285714285715,0,0.11458333333333331,1,58.4,0.06756756756756757,60.0,True,False
129,0.4815446981011308,2,0.6205714285714286,2,0.65,1,76.26,0.2702702702702703,73.4,False,True
130,0.8293151269468743,1,0.28571428571428575,0,0.8333333333333333,0,68.55,0.06756756756756757,89.7,False,True
132,0.13164070834222313,2,0.17142857142857146,1,0.625,0,60.78,0.21621621621621623,57.0,True,False
133,0.3663324087902709,1,0.22857142857142862,0,0.5083333333333334,1,53.49,0.13513513513513514,68.0,False,True
134,0.28098997226370803,1,0.6000000000000001,0,0.3125,1,60.98,0.06756756756756757,64.0,False,True
135,0.8783870279496477,1,0.4571428571428572,0,0.9166666666666665,0,67.13,0.06756756756756757,92.0,True,False
136,0.11030509921058246,2,0.3714285714285715,0,0.11666666666666675,1,65.63,0.0,56.0,True,False
138,0.25965436313206736,1,0.4571428571428572,0,0.125,1,60.41,0.033783783783783786,63.0,False,True
139,0.28098997226370803,2,0.48571428571428577,2,0.9583333333333333,0,71.77,0.06756756756756757,64.0,True,False
140,0.40900362705355225,1,0.08571428571428574,0,0.16666666666666669,0,54.43,0.02702702702702703,70.0,False,True
141,0.29805845956902055,1,0.3857142857142858,0,0.125,0,56.94,0.08783783783783786,64.8,False,True
143,0.19564753573714522,2,0.4980000000000002,2,0.20833333333333331,0,61.29,0.08108108108108109,60.0,False,True
144,0.2999786643908683,1,0.41914285714285726,0,0.8125,0,60.39,0.13513513513513514,64.89,False,True
146,0.31640708342223156,2,0.4357142857142858,2,0.45833333333333326,1,63.23,0.2702702702702703,65.66,False,True
147,0.25965436313206736,2,0.28571428571428575,0,0.7291666666666666,1,55.14,0.0445945945945946,63.0,False,True
148,0.4943460635801151,1,0.2571428571428572,0,0.6875,0,62.28,0.13513513513513514,74.0,False,True
149,0.7503733731598036,0,0.0,1,0.14583333333333337,0,64.08,0.05405405405405406,86.0,True,False
151,0.16705781950074663,2,0.05714285714285716,2,0.125,0,61.3,0.6621621621621623,58.66,False,True
152,0.30232558139534876,1,0.5428571428571429,0,0.6875,0,58.87,0.09459459459459461,65.0,False,True
153,0.2063153403029656,2,0.8,2,1.0,0,65.25,0.05405405405405406,60.5,True,False
154,0.17431192660550454,2,0.2571428571428572,2,0.75,0,62.48,0.1891891891891892,59.0,False,True
155,0.25965436313206736,2,0.1142857142857143,0,0.41666666666666663,0,53.2,0.06756756756756757,63.0,False,True
157,0.396202261574568,2,0.2571428571428572,2,0.625,1,52.72,0.07432432432432433,69.4,False,True
158,0.24898655856624702,1,0.14,0,0.9041666666666668,0,55.03,0.13513513513513514,62.5,False,True
161,0.4943460635801151,2,0.2571428571428572,2,0.5208333333333333,1,72.29,0.13513513513513514,74.0,False,True
163,0.7845103477704285,1,0.6071428571428572,0,0.525,0,66.06,0.11486486486486489,87.6,False,True
164,0.34499679965863017,2,0.22857142857142862,2,0.5208333333333333,0,66.46,0.4054054054054055,67.0,False,True
165,0.46234264988265406,1,0.21000000000000008,0,0.06333333333333335,0,65.52,0.06756756756756757,72.5,True,False
167,0.23831875400042665,1,0.1142857142857143,0,0.27083333333333326,1,52.38,0.05405405405405406,62.0,False,True
172,0.6223597183699593,1,0.4571428571428572,0,0.2872916666666666,0,66.04,0.12162162162162164,80.0,False,True
173,0.1529763174738638,1,0.0,0,0.7083333333333333,1,52.64,0.13513513513513514,58.0,False,True
175,0.0,2,0.2362857142857142,2,0.29166666666666663,0,66.23,0.4054054054054055,50.83,False,True
177,0.19564753573714522,1,0.0,0,0.10416666666666669,1,57.9,0.02702702702702703,60.0,True,False
178,0.9850650736078514,1,0.6571428571428573,0,0.8125,0,70.81,0.6081081081081081,97.0,True,False
179,0.11030509921058246,2,0.3428571428571429,2,0.47916666666666663,1,68.07,0.20270270270270274,56.0,False,True
181,0.4410070407510133,1,0.19428571428571426,0,0.14583333333333337,0,56.6,0.08783783783783786,71.5,False,True
184,0.5583528909750372,1,0.3714285714285715,0,0.20833333333333331,1,61.82,0.10270270270270272,77.0,False,True
186,0.4516748453168337,2,0.6285714285714287,1,0.6666666666666666,1,71.43,0.07027027027027027,72.0,True,False
188,0.3129933859611691,2,0.31428571428571433,2,0.9375,0,64.86,0.10810810810810811,65.5,False,True
192,0.21698314486878595,2,0.4571428571428572,0,0.45833333333333326,0,61.01,0.08648648648648649,61.0,False,True
193,0.2255173885214422,1,0.2514285714285714,0,0.9041666666666668,0,57.34,0.09459459459459461,61.4,False,True
194,0.25965436313206736,0,0.0,1,0.625,1,56.63,0.13513513513513514,63.0,True,False
196,0.5370172818433965,1,0.4571428571428572,0,0.7083333333333333,1,58.95,0.10135135135135137,76.0,False,True
197,0.25965436313206736,2,0.6142857142857143,2,0.5833333333333333,0,54.48,0.06756756756756757,63.0,False,True
198,0.04629827181566032,2,1.0,2,0.19416666666666665,1,69.71,0.08108108108108109,53.0,True,False
200,0.30232558139534876,1,0.02857142857142858,0,0.47916666666666663,1,55.8,0.08783783783783786,65.0,False,True
201,0.19564753573714522,1,0.2571428571428572,0,0.7822916666666666,0,52.81,0.13513513513513514,60.0,False,True
203,0.25965436313206736,2,0.28571428571428575,2,0.235,1,60.11,0.05405405405405406,63.0,False,True
204,0.22402389588222735,1,0.0248571428571428,0,0.33333333333333326,1,58.3,0.08108108108108109,61.33,False,True
205,0.4730104544484744,1,0.48571428571428577,0,0.625,0,67.69,0.013513513513513514,73.0,True,False
206,0.23831875400042665,1,0.2571428571428572,0,0.24999999999999997,0,56.81,0.06756756756756757,62.0,False,True
208,0.5796885001066778,1,0.14285714285714288,0,0.8033333333333333,0,71.55,0.13513513513513514,78.0,False,True
210,0.4516748453168337,1,0.2571428571428572,0,0.35416666666666663,0,56.49,0.021621621621621637,72.0,False,True
211,0.6650309366332408,1,0.617142857142857,0,0.8541666666666666,0,74.49,0.2702702702702703,82.0,False,True
212,0.19564753573714522,2,0.4571428571428572,2,0.49999999999999994,0,53.62,0.10135135135135137,60.0,False,True
213,0.34499679965863017,1,0.48571428571428577,0,0.1875,0,69.72,0.1283783783783784,67.0,False,True
214,0.3236611905269895,1,0.05714285714285716,0,0.41666666666666663,1,60.23,0.00540540540540542,66.0,True,False
