time,temperature_2m,relative_humidity_2m,precipitation
2026-08-22 17:00:00,25.5,68,0.4
2026-08-22 18:00:00,24.3,74,0.0
2026-08-22 19:00:00,22.9,80,0.0
2026-08-22 20:00:00,21.9,86,0.0
2026-08-22 21:00:00,21.3,89,0.0
2026-08-22 22:00:00,21.0,91,0.0
2026-08-22 23:00:00,20.8,92,0.0
2026-08-23 00:00:00,20.7,93,0.0
2026-08-23 01:00:00,20.6,93,0.0
2026-08-23 02:00:00,20.6,93,0.0
2026-08-23 03:00:00,20.3,95,0.0
2026-08-23 04:00:00,20.6,93,0.0
2026-08-23 05:00:00,21.1,90,0.0
2026-08-23 06:00:00,21.9,85,0.0
2026-08-23 07:00:00,23.2,79,0.0
2026-08-23 08:00:00,24.6,72,0.0
2026-08-23 09:00:00,26.0,66,0.0
2026-08-23 10:00:00,27.1,62,0.0
2026-08-23 11:00:00,27.8,60,0.0
2026-08-23 12:00:00,27.8,60,0.7
2026-08-23 13:00:00,27.5,62,0.7
2026-08-23 14:00:00,26.9,65,0.7
2026-08-23 15:00:00,26.2,70,0.7
2026-08-23 16:00:00,25.4,74,0.7
2026-08-23 17:00:00,24.8,77,0.7
2026-08-23 18:00:00,24.2,80,0.0
2026-08-23 19:00:00,23.6,83,0.0
2026-08-23 20:00:00,23.0,85,0.0
2026-08-23 21:00:00,22.4,88,0.0
2026-08-23 22:00:00,21.8,90,0.0
2026-08-23 23:00:00,21.5,91,0.0
